"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.441333597359091,0.612508500726529,0.0784419491008879,0.325028956029569,0.0672740361899608,0.0872955845414704,0.0284839801436806,0.0765683935914443
"2",0.312809247752691,0.394688166953846,0.407731342712246,0.385392332280169,0.14502905743744,0.0936387570714854,0.13380314781239,0.0884469847168867
"3",0.743895611337836,0.471348515025427,0.498953968940116,0.549966769880873,0.160343609978887,0.111015202827721,0.163894897769021,0.125266499385955
"4",0.343334339721647,0.445358824892721,0.635517837018404,0.610718927811502,0.180260442563027,0.115446470520029,0.206079089316846,0.133539737291119
"5",0.621554818589425,0.430638272151613,0.869158478395801,0.394237941541992,0.210548425071744,0.0963908574644856,0.2834510629322,0.0943713414590814
"6",0.593662968211819,0.472225526585892,0.420581805608766,0.408249241450334,0.147403874802978,0.0970748240030433,0.137877349797606,0.0933455070541202
"7",0.593005892390942,0.370064433294131,0.435482241093587,0.428848294837176,0.149923147443452,0.098169577237292,0.143158312975524,0.0973850519898037
"8",0.444224301558783,0.670944833479255,0.501290194380184,0.447829844342441,0.160458121466674,0.101925457325946,0.163018408335801,0.107674951186307
"9",0.760103947791371,0.41581348129942,0.461791167129535,0.52817552645637,0.154484095388788,0.108539135681391,0.151923027098719,0.119307186522694
"10",0.545898708222081,0.367331201313444,0.721913779790012,0.562764784638573,0.191920650496125,0.112278100424237,0.234577005166684,0.12920927710988
"11",0.481159410795491,0.309412294218261,0.352439934937576,0.415134138127069,0.135218320715888,0.0967118966536122,0.117353249530637,0.0945622287598318
"12",0.543726655882743,0.486873135221343,0.644002987455915,0.48117024262405,0.181445211790778,0.103762239378196,0.209071243890616,0.108505823752537
"13",0.693187815278423,0.50263389657678,0.541998990257694,0.503625632320498,0.166839745899464,0.106069148599767,0.176464988339978,0.113000911631475
"14",0.705136934669474,0.402535232445487,0.57001781319629,0.430782344418455,0.171146407836044,0.100125523076857,0.188842127228201,0.103831267124395
"15",0.573467965152759,0.532937904956909,0.362301494747453,0.365293187588757,0.13710964917705,0.094082278968838,0.119276829494727,0.0957188995374759
"16",0.52027008036684,0.629947305403593,0.612143219006212,0.350101123301441,0.177053530692287,0.0913558631933456,0.202061614662368,0.0850754813479837
"17",0.433783371518985,0.538378934332899,0.422873102306832,0.297452222860448,0.147658227592301,0.0839055227520698,0.138122763369994,0.0713209192191633
"18",0.342139349715336,0.425971520313797,0.356171504646651,0.475768620475068,0.135819422891643,0.10296760898653,0.117165844844719,0.107058107530085
"19",0.32156923887147,0.681135974647006,0.411509411557045,0.504014818544572,0.14567431542883,0.107576842854986,0.134572959786238,0.119684044643704
"20",0.70539903491797,0.446143200021427,0.299267812207266,0.377751606292288,0.125137192389927,0.0937837601874653,0.099499106738342,0.0887987494699529
"21",0.424236324479005,0.509304870282565,0.631021793727837,0.381921137792865,0.179651194339495,0.0944944940933943,0.204932715693838,0.0893108564500336
"22",0.659128663104134,0.44375607257158,0.661399411618287,0.467886918617293,0.184106703343701,0.103104396264875,0.217490866629,0.107368333100599
"23",0.747795275391033,0.354623590250448,0.282855260736247,0.323192853609085,0.12186244038738,0.0875655426577037,0.0947417631749561,0.0761710403046472
"24",0.56644709646846,0.441537666269876,0.590140998080695,0.764927954770396,0.173882921680393,0.128422633774939,0.192813446288251,0.167119961936559
"25",0.681082112095508,0.275506760353663,0.553843896671607,0.422337545541241,0.168628177224851,0.0980692084420363,0.18212467635762,0.0970369024272425
"26",0.728038535591352,0.424031691246588,0.227254050366972,0.570912044774601,0.109779521830636,0.113302217384517,0.0763877222099803,0.133089509539076
